	bc1 num	count	frac	cumulative	index
1479	demo_bc1_40_bc2_35_bc3_28	2	0.05	0.05	0
3400	demo_bc1_41_bc2_52_bc3_90	2	0.05	0.1	1
1768	demo_bc1_41_bc2_21_bc3_33	1	0.025	0.125	2
1003	demo_bc1_44_bc2_93_bc3_20	1	0.025	0.15	3
1179	demo_bc1_28_bc2_27_bc3_22	1	0.025	0.175	4
2478	demo_bc1_79_bc2_88_bc3_52	1	0.025	0.19999999999999998	5
42	demo_bc1_43_bc2_28_bc3_1	1	0.025	0.22499999999999998	6
1879	demo_bc1_56_bc2_12_bc3_35	1	0.025	0.24999999999999997	7
2686	demo_bc1_95_bc2_26_bc3_57	1	0.025	0.27499999999999997	8
2339	demo_bc1_36_bc2_35_bc3_52	1	0.025	0.3	9
591	demo_bc1_16_bc2_39_bc3_14	1	0.025	0.325	10
3121	demo_bc1_50_bc2_95_bc3_77	1	0.025	0.35000000000000003	11
3579	demo_bc1_28_bc2_30_bc3_93	1	0.025	0.37500000000000006	12
746	demo_bc1_75_bc2_43_bc3_16	1	0.025	0.4000000000000001	13
2562	demo_bc1_67_bc2_24_bc3_55	1	0.025	0.4250000000000001	14
2821	demo_bc1_38_bc2_50_bc3_64	1	0.025	0.4500000000000001	15
2213	demo_bc1_6_bc2_86_bc3_51	1	0.025	0.47500000000000014	16
222	demo_bc1_31_bc2_43_bc3_2	1	0.025	0.5000000000000001	17
1927	demo_bc1_8_bc2_87_bc3_36	1	0.025	0.5250000000000001	18
3038	demo_bc1_63_bc2_18_bc3_76	1	0.025	0.5500000000000002	19
322	demo_bc1_35_bc2_75_bc3_2	1	0.025	0.5750000000000002	20
1677	demo_bc1_46_bc2_49_bc3_29	1	0.025	0.6000000000000002	21
2199	demo_bc1_88_bc2_20_bc3_48	1	0.025	0.6250000000000002	22
2880	demo_bc1_1_bc2_35_bc3_68	1	0.025	0.6500000000000002	23
784	demo_bc1_17_bc2_48_bc3_18	1	0.025	0.6750000000000003	24
1269	demo_bc1_22_bc2_74_bc3_22	1	0.025	0.7000000000000003	25
3505	demo_bc1_50_bc2_63_bc3_91	1	0.025	0.7250000000000003	26
3308	demo_bc1_45_bc2_35_bc3_82	1	0.025	0.7500000000000003	27
1570	demo_bc1_35_bc2_39_bc3_28	1	0.025	0.7750000000000004	28
132	demo_bc1_37_bc2_49_bc3_1	1	0.025	0.8000000000000004	29
464	demo_bc1_81_bc2_46_bc3_12	1	0.025	0.8250000000000004	30
493	demo_bc1_14_bc2_48_bc3_12	1	0.025	0.8500000000000004	31
1138	demo_bc1_83_bc2_20_bc3_22	1	0.025	0.8750000000000004	32
2057	demo_bc1_42_bc2_13_bc3_46	1	0.025	0.9000000000000005	33
3175	demo_bc1_8_bc2_53_bc3_80	1	0.025	0.9250000000000005	34
1354	demo_bc1_11_bc2_82_bc3_23	1	0.025	0.9500000000000005	35
929	demo_bc1_66_bc2_61_bc3_19	1	0.025	0.9750000000000005	36
2749	demo_bc1_62_bc2_9_bc3_61	1	0.025	1.0000000000000004	37
2427	demo_bc1_28_bc2_88_bc3_52	0	0.0	1.0000000000000004	38
2497	demo_bc1_2_bc2_24_bc3_55	0	0.0	1.0000000000000004	39
2428	demo_bc1_29_bc2_88_bc3_52	0	0.0	1.0000000000000004	40
2429	demo_bc1_30_bc2_88_bc3_52	0	0.0	1.0000000000000004	41
2430	demo_bc1_31_bc2_88_bc3_52	0	0.0	1.0000000000000004	42
2431	demo_bc1_32_bc2_88_bc3_52	0	0.0	1.0000000000000004	43
2496	demo_bc1_1_bc2_24_bc3_55	0	0.0	1.0000000000000004	44
2495	demo_bc1_96_bc2_88_bc3_52	0	0.0	1.0000000000000004	45
2483	demo_bc1_84_bc2_88_bc3_52	0	0.0	1.0000000000000004	46
2426	demo_bc1_27_bc2_88_bc3_52	0	0.0	1.0000000000000004	47
2432	demo_bc1_33_bc2_88_bc3_52	0	0.0	1.0000000000000004	48
2493	demo_bc1_94_bc2_88_bc3_52	0	0.0	1.0000000000000004	49
2433	demo_bc1_34_bc2_88_bc3_52	0	0.0	1.0000000000000004	50
2434	demo_bc1_35_bc2_88_bc3_52	0	0.0	1.0000000000000004	51
2435	demo_bc1_36_bc2_88_bc3_52	0	0.0	1.0000000000000004	52
2436	demo_bc1_37_bc2_88_bc3_52	0	0.0	1.0000000000000004	53
2492	demo_bc1_93_bc2_88_bc3_52	0	0.0	1.0000000000000004	54
2437	demo_bc1_38_bc2_88_bc3_52	0	0.0	1.0000000000000004	55
2438	demo_bc1_39_bc2_88_bc3_52	0	0.0	1.0000000000000004	56
2439	demo_bc1_40_bc2_88_bc3_52	0	0.0	1.0000000000000004	57
